Start Time,End Time,Tag,Note,Tree Type,Is Success
Sat Sep 19 20:25:15 GMT+03:00 2020,Sat Sep 19 20:55:15 GMT+03:00 2020,Study,,Cedar,TRUE
Sat Sep 19 21:50:34 GMT+03:00 2020,Sat Sep 19 22:15:34 GMT+03:00 2020,Study,,Bush,TRUE
Sat Sep 19 22:45:49 GMT+03:00 2020,Sat Sep 19 23:10:49 GMT+03:00 2020,Study,,Bush,TRUE
Sun Sep 20 00:32:07 GMT+03:00 2020,Sun Sep 20 01:12:07 GMT+03:00 2020,Study,,Star Coral,TRUE
Sun Sep 20 15:52:21 GMT+03:00 2020,Sun Sep 20 16:22:21 GMT+03:00 2020,Study,,Star Coral,TRUE
Sun Sep 20 17:00:07 GMT+03:00 2020,Sun Sep 20 17:30:07 GMT+03:00 2020,Study,,Cedar,TRUE
Sun Sep 20 18:57:57 GMT+03:00 2020,Sun Sep 20 19:37:57 GMT+03:00 2020,Study,,Star Coral,TRUE
Sun Sep 20 20:46:56 GMT+03:00 2020,Sun Sep 20 21:16:56 GMT+03:00 2020,Study,,Star Coral,TRUE
Sun Sep 20 21:33:42 GMT+03:00 2020,Sun Sep 20 21:58:42 GMT+03:00 2020,Study,,Cedar,TRUE
Mon Sep 21 13:43:18 GMT+03:00 2020,Mon Sep 21 14:13:18 GMT+03:00 2020,Study,,Cedar,TRUE
Mon Sep 21 15:08:16 GMT+03:00 2020,Mon Sep 21 15:48:16 GMT+03:00 2020,Study,,Bush,TRUE
Mon Sep 21 15:50:53 GMT+03:00 2020,Mon Sep 21 16:20:53 GMT+03:00 2020,Study,,Star Coral,TRUE
Mon Sep 21 16:50:25 GMT+03:00 2020,Mon Sep 21 17:20:25 GMT+03:00 2020,Study,,Bush,TRUE
Mon Sep 21 17:23:16 GMT+03:00 2020,Mon Sep 21 17:43:16 GMT+03:00 2020,Study,,Star Coral,TRUE
Mon Sep 21 18:12:33 GMT+03:00 2020,Mon Sep 21 18:42:33 GMT+03:00 2020,Study,,Cedar,TRUE
Mon Sep 21 18:44:56 GMT+03:00 2020,Mon Sep 21 19:09:56 GMT+03:00 2020,Study,,Cedar,TRUE
Mon Sep 21 19:58:54 GMT+03:00 2020,Mon Sep 21 20:33:54 GMT+03:00 2020,Study,,Star Coral,TRUE
Mon Sep 21 20:49:59 GMT+03:00 2020,Mon Sep 21 21:19:59 GMT+03:00 2020,Study,,Bush,TRUE
Mon Sep 21 22:21:42 GMT+03:00 2020,Mon Sep 21 22:46:42 GMT+03:00 2020,Study,,Cedar,TRUE
Tue Sep 22 16:16:42 GMT+03:00 2020,Tue Sep 22 16:41:42 GMT+03:00 2020,Study,,Cedar,TRUE
Tue Sep 22 21:24:49 GMT+03:00 2020,Tue Sep 22 21:54:49 GMT+03:00 2020,Study,,Cedar,TRUE
Tue Sep 22 22:19:31 GMT+03:00 2020,Tue Sep 22 22:49:31 GMT+03:00 2020,Study,,Cedar,TRUE
Tue Sep 22 23:05:56 GMT+03:00 2020,Tue Sep 22 23:35:56 GMT+03:00 2020,Study,,Star Coral,TRUE
Tue Sep 22 23:57:58 GMT+03:00 2020,Wed Sep 23 00:27:58 GMT+03:00 2020,Study,,Star Coral,TRUE
Wed Sep 23 01:05:06 GMT+03:00 2020,Wed Sep 23 01:35:06 GMT+03:00 2020,Study,,Star Coral,TRUE
Wed Sep 23 01:53:59 GMT+03:00 2020,Wed Sep 23 02:18:59 GMT+03:00 2020,Study,,Bush,TRUE
Wed Sep 23 03:16:39 GMT+03:00 2020,Wed Sep 23 03:46:39 GMT+03:00 2020,Study,,Bush,TRUE
Wed Sep 23 14:39:58 GMT+03:00 2020,Wed Sep 23 15:09:58 GMT+03:00 2020,Study,,Cedar,TRUE
Wed Sep 23 15:11:37 GMT+03:00 2020,Wed Sep 23 15:31:37 GMT+03:00 2020,Study,,Cedar,TRUE
Wed Sep 23 18:52:28 GMT+03:00 2020,Wed Sep 23 19:22:28 GMT+03:00 2020,Study,,Cedar,TRUE
Wed Sep 23 23:24:29 GMT+03:00 2020,Wed Sep 23 23:49:29 GMT+03:00 2020,Study,,Cedar,TRUE
Thu Sep 24 00:44:28 GMT+03:00 2020,Thu Sep 24 01:09:28 GMT+03:00 2020,Study,,Star Coral,TRUE
Thu Sep 24 18:12:40 GMT+03:00 2020,Thu Sep 24 18:37:40 GMT+03:00 2020,Study,,Star Coral,TRUE
Thu Sep 24 19:44:34 GMT+03:00 2020,Thu Sep 24 20:14:34 GMT+03:00 2020,Study,,Octopus,TRUE
Thu Sep 24 21:53:26 GMT+03:00 2020,Thu Sep 24 22:38:26 GMT+03:00 2020,Study,,Octopus,TRUE
Thu Sep 24 23:04:25 GMT+03:00 2020,Thu Sep 24 23:49:25 GMT+03:00 2020,Study,,Octopus,TRUE
Fri Sep 25 15:27:54 GMT+03:00 2020,Fri Sep 25 15:57:54 GMT+03:00 2020,Study,,Octopus,TRUE
Fri Sep 25 16:42:53 GMT+03:00 2020,Fri Sep 25 17:27:53 GMT+03:00 2020,Study,,Octopus,TRUE
Fri Sep 25 17:50:45 GMT+03:00 2020,Fri Sep 25 18:35:45 GMT+03:00 2020,Study,,Star Coral,TRUE
Fri Sep 25 18:59:10 GMT+03:00 2020,Fri Sep 25 19:29:10 GMT+03:00 2020,Study,,Star Coral,TRUE
Fri Sep 25 20:06:53 GMT+03:00 2020,Fri Sep 25 20:51:53 GMT+03:00 2020,Study,,Octopus,TRUE
Fri Sep 25 21:58:30 GMT+03:00 2020,Fri Sep 25 22:33:30 GMT+03:00 2020,Study,,Octopus,TRUE
Fri Sep 25 22:57:51 GMT+03:00 2020,Fri Sep 25 23:37:51 GMT+03:00 2020,Study,,Cedar,TRUE
Sat Sep 26 00:41:25 GMT+03:00 2020,Sat Sep 26 01:06:25 GMT+03:00 2020,Study,,Cedar,TRUE
Sat Sep 26 01:48:32 GMT+03:00 2020,Sat Sep 26 02:13:32 GMT+03:00 2020,Study,,Star Coral,TRUE
Sat Sep 26 02:23:56 GMT+03:00 2020,Sat Sep 26 02:48:56 GMT+03:00 2020,Study,,Star Coral,TRUE
Sat Sep 26 03:08:48 GMT+03:00 2020,Sat Sep 26 03:23:48 GMT+03:00 2020,Study,,Bush,TRUE
Sat Sep 26 16:31:40 GMT+03:00 2020,Sat Sep 26 17:02:06 GMT+03:00 2020,Study,,Octopus,FALSE
Sat Sep 26 18:17:42 GMT+03:00 2020,Sat Sep 26 18:32:42 GMT+03:00 2020,Study,,Octopus,TRUE
Sun Sep 27 13:04:03 GMT+03:00 2020,Sun Sep 27 13:34:03 GMT+03:00 2020,Study,,Octopus,TRUE
Sun Sep 27 14:07:31 GMT+03:00 2020,Sun Sep 27 14:37:31 GMT+03:00 2020,Study,,Star Coral,TRUE
Sun Sep 27 15:32:26 GMT+03:00 2020,Sun Sep 27 16:02:26 GMT+03:00 2020,Study,,Star Coral,TRUE
Sun Sep 27 16:30:08 GMT+03:00 2020,Sun Sep 27 16:55:08 GMT+03:00 2020,Study,,Star Coral,TRUE
Sun Sep 27 17:14:44 GMT+03:00 2020,Sun Sep 27 17:44:44 GMT+03:00 2020,Study,,Bush,TRUE
Sun Sep 27 17:48:34 GMT+03:00 2020,Sun Sep 27 18:08:34 GMT+03:00 2020,Study,,Bush,TRUE
Sun Sep 27 18:43:45 GMT+03:00 2020,Sun Sep 27 19:23:45 GMT+03:00 2020,Study,,Octopus,TRUE
Sun Sep 27 19:53:02 GMT+03:00 2020,Sun Sep 27 20:13:02 GMT+03:00 2020,Study,,Octopus,TRUE
Sun Sep 27 21:26:01 GMT+03:00 2020,Sun Sep 27 21:46:01 GMT+03:00 2020,Study,,Bush,TRUE
Sun Sep 27 23:28:32 GMT+03:00 2020,Sun Sep 27 23:58:32 GMT+03:00 2020,Study,,Cedar,TRUE
Mon Sep 28 00:14:17 GMT+03:00 2020,Mon Sep 28 00:34:17 GMT+03:00 2020,Study,,Star Coral,TRUE
Mon Sep 28 00:40:17 GMT+03:00 2020,Mon Sep 28 01:00:17 GMT+03:00 2020,Study,,Star Coral,TRUE
Mon Sep 28 01:02:45 GMT+03:00 2020,Mon Sep 28 01:22:45 GMT+03:00 2020,Study,,Star Coral,TRUE
Tue Sep 29 20:32:49 GMT+03:00 2020,Tue Sep 29 21:02:49 GMT+03:00 2020,Study,,Star Coral,TRUE
Tue Sep 29 21:03:30 GMT+03:00 2020,Tue Sep 29 21:33:30 GMT+03:00 2020,Study,,Star Coral,TRUE
Wed Sep 30 17:45:09 GMT+03:00 2020,Wed Sep 30 18:30:09 GMT+03:00 2020,Study,,Star Coral,TRUE
Wed Sep 30 18:30:45 GMT+03:00 2020,Wed Sep 30 19:05:45 GMT+03:00 2020,Study,,Star Coral,TRUE
Wed Sep 30 19:28:04 GMT+03:00 2020,Wed Sep 30 20:03:04 GMT+03:00 2020,Study,,Star Coral,TRUE
Wed Sep 30 20:10:42 GMT+03:00 2020,Wed Sep 30 20:45:42 GMT+03:00 2020,Study,,Star Coral,TRUE
Fri Oct 02 00:26:53 GMT+03:00 2020,Fri Oct 02 01:01:53 GMT+03:00 2020,Study,,Star Coral,TRUE
Fri Oct 02 13:08:14 GMT+03:00 2020,Fri Oct 02 13:43:14 GMT+03:00 2020,Study,,Star Coral,TRUE
Fri Oct 02 15:48:36 GMT+03:00 2020,Fri Oct 02 16:48:36 GMT+03:00 2020,Study,,Star Coral,TRUE
Fri Oct 02 17:19:00 GMT+03:00 2020,Fri Oct 02 18:19:00 GMT+03:00 2020,Study,,Octopus,TRUE
Fri Oct 02 18:55:35 GMT+03:00 2020,Fri Oct 02 19:15:35 GMT+03:00 2020,Study,,Octopus,TRUE
Sat Oct 03 00:22:16 GMT+03:00 2020,Sat Oct 03 00:42:16 GMT+03:00 2020,Study,,Octopus,TRUE
Sat Oct 03 00:48:35 GMT+03:00 2020,Sat Oct 03 01:18:35 GMT+03:00 2020,Study,,Octopus,TRUE
Sat Oct 03 01:41:23 GMT+03:00 2020,Sat Oct 03 02:06:23 GMT+03:00 2020,Study,,Octopus,TRUE
Sat Oct 03 02:07:41 GMT+03:00 2020,Sat Oct 03 02:22:41 GMT+03:00 2020,Study,,Cedar,TRUE
Sat Oct 03 21:17:49 GMT+03:00 2020,Sat Oct 03 21:47:49 GMT+03:00 2020,Study,,Cedar,TRUE
Sat Oct 03 22:32:29 GMT+03:00 2020,Sat Oct 03 22:45:56 GMT+03:00 2020,Study,,Cedar,FALSE
Sun Oct 04 15:00:25 GMT+03:00 2020,Sun Oct 04 15:45:25 GMT+03:00 2020,Study,,Cedar,TRUE
Sun Oct 04 16:15:52 GMT+03:00 2020,Sun Oct 04 17:00:52 GMT+03:00 2020,Study,,Octopus,TRUE
Sun Oct 04 17:36:41 GMT+03:00 2020,Sun Oct 04 18:06:41 GMT+03:00 2020,Study,,Octopus,TRUE
Sun Oct 04 18:21:08 GMT+03:00 2020,Sun Oct 04 18:51:08 GMT+03:00 2020,Study,,Bush,TRUE
Sun Oct 04 19:38:15 GMT+03:00 2020,Sun Oct 04 20:08:15 GMT+03:00 2020,Study,,Bush,TRUE
